page,numExercises
38,15
51,8
56,4
59,4
62,2
64,2
66,3
78,9
83,6
85,6
88,10
90,12
100,2
102,5
106,3
107,5
110,3
111,1
129,3
130,6
132,1
133,6
134,6
140,6
146,9
149,4
152,4
161,10
163,4
166,4
167,2
170,6
179,5
181,4
185,5
192,3
193,3
202,8
205,3
207,3
211,7
215,3
225,4
228,5
243,5
245,4
247,7
250,8
258,4
260,6
264,5
268,7
276,6
295,9
298,7
302,3
308,7
311,7
314,8
317,4
321,9
330,6
336,6
342,9
367,12
379,8
384,5
388,5
397,9
401,4
404,8
406,2
408,3
421,6
431,10
438,9
441,6
442,7
462,5
467,5
470,9
479,4
494,5
496,5
499,8
500,5
504,11
511,7
521,6
524,9
529,5
532,7
549,10
552,3
557,7
564,2
568,9
572,8
576,6
579,4
